Station 	Elevation
2341.27	355.77
2344.27	356.03
2347.27	355.9
2350.27	355.8
2353.27	356.12
2356.26	356.03
2359.26	355.93
2362.26	355.97
2365.26	355.81
2368.26	355.73
2371.25	355.96
2374.25	355.82
2377.25	355.9
2380.25	355.85
2383.24	355.83
2386.24	355.51
2389.24	355.15
2392.24	355.24
2395.24	355.28
2398.23	355.22
2401.23	355.48
2404.23	355.73
2407.23	355.75
2410.23	355.59
2413.22	355.51
2416.22	356.02
2419.22	356.23
2422.22	356.23
2425.21	356.24
2428.21	356.26
2431.21	356.36
2434.21	356.49
2437.21	356.39
2440.2	356.68
2443.2	356.75
2446.2	356.53
2449.2	356.5
2452.2	356.4
2455.19	356.4
2458.19	356.68
2461.19	356.83
2464.19	356.8
2467.18	356.72
2470.18	356.8
2473.18	357.15
2476.18	357.43
2479.18	357.47
2482.17	357.41
2485.17	357.37
2488.17	357.31
2491.17	357.21
2494.16	357.17
2497.16	357.55
2500.16	357.81
2503.16	357.98
2506.16	357.85
2509.15	357.51
2512.15	357.33
2515.15	357.33
2518.15	357.18
2521.15	357.05
2524.14	356.94
2527.14	356.91
2530.14	356.93
2533.14	356.63
2536.13	356.85
2539.13	356.88
2542.13	356.83
2545.13	356.75
2548.13	357.39
2551.12	357.38
2554.12	357.03
2557.12	356.99
2560.12	356.91
2563.11	356.86
2566.11	356.77
2569.11	356.67
2572.11	356.64
2575.11	356.68
2578.1	356.87
2581.1	356.95
2584.1	356.95
2587.1	356.95
2590.1	356.9
2593.09	356.82
2596.09	356.79
2599.09	356.86
2602.09	357.01
2605.08	357.16
2608.08	357.19
2611.08	357.16
2614.08	357.22
2617.08	357.08
2620.07	356.8
2623.07	356.74
2626.07	356.91
2629.07	357.18
2632.07	357.16
2635.06	357.01
2638.06	356.89
2641.06	356.91
2644.06	357.07
2647.05	357.32
2650.05	357.51
2653.05	357.4
2656.05	357.23
2659.05	357.18
2662.04	357.07
2665.04	357.05
2668.04	357.25
2671.04	357.51
2674.04	357.79
2677.03	357.83
2680.03	358.07
2683.03	358.32
2686.03	358.39
2689.02	358.36
2692.02	358.27
2695.02	358.15
2698.02	358.02
2701.02	357.84
2704.01	357.45
2707.01	357.39
2710.01	357.38
2713.01	357.4
2716	357.34
2719	357.19
2722	357.39
2725	357.7
2728	357.94
2730.99	358.07
2733.99	358.09
2736.99	358.03
2739.98	356.93
2742.92	356.45
2749.99	353.17
2775.51	350.33
2779.85	349.83
2781.76	350.15
2784.5	349.91
2787.49	349.83
2790.86	349.58
2794.16	349.68
2798.25	349.5
2806.69	349.21
2811.35	349.08
2816.5	348.84
2825.83	348.72
2830.81	348.52
2835.89	348.51
2841.27	348.39
2846.65	348.16
2852.42	348.08
2858.31	347.89
2864.62	347.75
2870.43	347.61
2876.09	347.44
2882.12	347.38
2887.85	347.15
2893.63	347.17
2898.98	346.91
2904.59	346.75
2910.75	346.68
2917.6	346.52
2929.9	346.47
2936.83	346.3
2944.35	346.24
2951.32	346.3
2959.08	346.14
2966.87	345.88
2975.33	345.72
2983.77	345.44
2991.02	345.2
2998.36	345.01
3004.94	344.84
3012.02	344.67
3019.39	344.38
3031.44	344.52
3039.52	344.17
3047.71	344.52
3055.36	344.13
3063.97	344.44
3072.3	345.11
3079.88	345.31
3087.67	345.63
3095.81	346.03
3102.03	346.29
3111.13	346.9
3119.24	347.08
3133.05	348.47
3140.33	348.8
3147.99	349
3156.06	349.38
3164.14	349.73
3172	350.04
3180.26	350.03
3188.89	350.09
3198.13	350.39
3207.39	350.53
3216.21	350.56
3226.76	350.56
3237.29	350.69
3246.37	350.73
3258.72	350.63
3266.35	350.85
3273.88	350.96
3281.41	350.95
3288.92	351.08
3296.45	351.04
3303.44	351.14
3310.4	351.03
3317.39	350.88
3323.99	350.63
3332.13	350.39
3340.27	350.45
3350.88	350.42
3358.13	350.31
3372.67	350.26
3379.92	350.22
3387.18	350.19
3394.45	350.45
3401.7	350.55
3408.72	350.25
3416.29	350.25
3424.29	350.3
3431.96	350.26
3439.15	350.43
3447.24	350.47
3456.1	350.38
3464.73	350.4
3472.74	350.34
3480.76	350.18
3488.49	349.94
3495.75	349.84
3502.67	349.73
3509.29	349.56
3515.49	349.6
3521.97	349.81
3528.56	349.91
3535.3	349.83
